Category,Subcategory,Item,Detached Cost,Semi-Detached Cost,Mid Terrace Cost,Apartment Cost,EnergySavings_kWhm2,Financial Efficiency (Detached Cost),Financial Efficiency (Semi-Detached Cost),Financial Efficiency (Mid Terrace Cost),Financial Efficiency (Apartment Cost)
Insulation Improvements,Wall Insulation,External Wall Insulation,23500,21737,12900,0,0.385956457,5.81E-06,6.29E-06,1.06E-05,inf
Insulation Improvements,Wall Insulation,Internal Wall Insulation,10000,11000,6139,2950,0.385956457,1.37E-05,1.24E-05,2.23E-05,4.63E-05
Insulation Improvements,Wall Insulation,Cavity Insulation,2220,1600,1085,930,0.385956457,6.15E-05,8.54E-05,0.000125925,0.000146912
Insulation Improvements,Roof Insulation,Roof Insulation,2492,1874,1703,1563,0.363657061,5.17E-05,6.87E-05,7.56E-05,8.24E-05
Heating System Upgrades,Heating Controls,Heating Controls,3456,3635,3600,2200,,,,,
Heating System Upgrades,Heat Pumps,Heat Pump,15600,15705,16500,11500,,,,,
Heating System Upgrades,Building Energy Rating,Building Energy Rating,260,250,250,245,,,,,
Renewable Energy Additions,Solar PV Installation,Solar PV 2kWp up to 4kWp,9995,8800,8355,6898,,,,,
Window & Door Replacements,Windows,Double/Triple Glazing Windows,8000,7500,7000,5000,0.293693494,1.30E-05,1.39E-05,1.49E-05,2.08E-05
Window & Door Replacements,Doors,Energy-Efficient Doors,3000,2800,2500,2000,0.089783548,1.06E-05,1.14E-05,1.27E-05,1.59E-05
