Category,Subcategory,Item,Detached Cost,Semi-Detached Cost,Mid Terrace Cost,Apartment Cost,EnergySavings_kWhm2,Cost-Effectiveness (Detached Cost),Cost-Effectiveness (Semi-Detached Cost),Cost-Effectiveness (Mid Terrace Cost),Cost-Effectiveness (Apartment Cost)
Insulation Improvements,Wall Insulation,External Wall Insulation,23500,21737,12900,0,0.38595645714727533,1.642367902754363e-05,1.7755737091009585e-05,2.991910520521514e-05,inf
Insulation Improvements,Wall Insulation,Internal Wall Insulation,10000,11000,6139,2950,0.38595645714727533,3.8595645714727536e-05,3.50869506497523e-05,6.286959718965227e-05,0.00013083269733805945
Insulation Improvements,Wall Insulation,Cavity Insulation,2220,1600,1085,930,0.38595645714727533,0.00017385425997625014,0.0002412227857170471,0.00035572023700209705,0.0004150069431691133
Insulation Improvements,Roof Insulation,Roof Insulation,2492,1874,1703,1563,0.36365706066305076,0.00014592979962401717,0.00019405392778177734,0.00021353908435880843,0.00023266606568333382
Heating System Upgrades,Heating Controls,Heating Controls,3456,3635,3600,2200,,,,,
Heating System Upgrades,Heat Pumps,Heat Pump,15600,15705,16500,11500,,,,,
Heating System Upgrades,Building Energy Rating,Building Energy Rating,260,250,250,245,,,,,
Renewable Energy Additions,Solar PV Installation,Solar PV 2kWp up to 4kWp,9995,8800,8355,6898,,,,,
Window & Door Replacements,Windows,Double/Triple Glazing Windows,8000,7500,7000,5000,0.29369349366810493,3.6711686708513114e-05,3.9159132489080656e-05,4.1956213381157845e-05,5.8738698733620984e-05
Window & Door Replacements,Doors,Energy-Efficient Doors,3000,2800,2500,2000,0.08978354794985659,2.992784931661886e-05,3.206555283923449e-05,3.5913419179942635e-05,4.489177397492829e-05
